"From files: clickbait_pickles/clickbait_1_R.p, clickbait_pickles/clickbait_1_A.p, clickbait_pickles/clickbait_1_R,B.p, clickbait_pickles/clickbait_1_A,B.p",,,,,,,,,,,,,,,
A,B,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,Gabe,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,Prabha,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,,,
"The food is good and the prices are cheap, but the price of the food was too high?


This is the most important factor in the decision to eat the food. If it were cheap, I would eat it! The price is just not fair","The food was delicious and so simple and I loved it. But it didn't taste like anything you would expect from an actual food product, it smelled like a restaurant that has never had a meal before. So, I was expecting the worst, but it turned",A,2,4,*,both,1,3,,A,2,3,,,15_378_287
"The president of the country's biggest supermarket chain has admitted that he was 'dodging bullets' when a man he had met with in a supermarket claimed that he had shot dead two people.

The man, who was visiting his family in the UK, was told","The president of the country's biggest bank has said that the UK is the ""worst country in the world"" with ""the most dangerous"" banking sector.""The UK, the United States, Canada, Australia, New Zealand, Ireland, Germany, France and Singapore are the worst",both,4,3,*,both,5,5,,both,4,4,,,26_43_798
"The road to becoming the next President is a difficult one. You can see the signs of it when you're driving around in the country, or listening to the radio. And yet, the signs aren't necessarily all that great for the candidates. The candidate who","The road to a new generation

In the early days, the company was known mostly as a maker of mobile products. But the early days didn't last long. After Apple launched in 2001, the company went to war with Motorola. It won.
",B,3,4,*,neither,2,2,,B,2,4,,,0_70_332
"The pizza shop was closed as police searched the neighborhood for the shooter. The man who opened fire outside the restaurant was described as a black man in mid-thirties. Witnesses and a witness described him wearing a black turtleneck sweater, white pants and","The pizza oven is an incredibly simple gadget, but one that will take some time to learn and practice. In this guide, you will get the essentials of the oven and its components, and then learn how to use the various oven options on the market. We",neither,3,4,,both,3,4,,neither,3,4,,,18_872_287
"The food is delicious! And they don't have to be boring to enjoy!

I love the fact that they are using real foods, which are usually processed and bland. They have an array of fresh fruits, veggies and meats as well as a lot","The food industry has had its eye on the U.S. since before the U.S.-led Iraq War even took place. In the 1990s, McDonald's introduced a chicken nugget to the market. McDonald's then expanded the nugget",A,3,4,*,A,2,4,,A,3,4,,,17_395_28
"The book is a collection of stories, and one of them is about the ""secret"" to a successful life. It's about a man who's not what people think he is, a man with a secret life and a secret job. It's about an","The book is a fascinating and entertaining read that will make all the other books about the Internet, and the Internet's role in the world better.


This book has been a top favorite of mine and I think everyone else's.


I am a",B,4,4,*,B,5,2,,B,4,3,,,44_829_451
"The chicken and pork meat products are among the most expensive in Europe.
In this case, ""a very good price"" would be a ""substantial"" loss for the poultry processor.

A ""substantial loss"" of this sort would mean a","The chicken-eating chicken of tomorrow. The new, high-protein-food-based diet that we all know and love, but which many people don't even realize is a thing. It's called a low-carbohydrate diet, and you might call",B,3,4,*,B,3,2,,B,3,3,,,4_13_559
"The year is 1910. The year is the year of the New World Order. The year is the year the world's greatest secret has been hidden from the public for over 100 years.

And this is what you do with the secrets you find in order to protect yourself","The year is 1910. A new, revolutionary technology has made the world a much more exciting and dangerous place. It's called the atom bomb. The world's leading scientific body, the British Royal Society, is now calling it a ""monstrous hoax.""

The technology",both,3,4,*,both,2,3,,both,2,3,,,21_87_753
"The country's highest court ruled Monday that police should use lethal force against suspects who fail to comply with officers' demands, but the ruling has been criticized by civil libertarians because it will apply only to those who pose a clear threat to police or others.

","The country is facing what is known as ""fiscal suicide,"" with the country's economy, economy, and the economy. And the only way to get the country back on track is to get out of the debt. That is, the debt must not be",A,5,3,*,A,4,2,,A,5,3,,,7_352_793
"The food is good and the prices are cheap, but the price of the food was too high?


This is the most important factor in the decision to eat the food. If it were cheap, I would eat it! The price is just not fair","The food of the world is always available. In fact, it is almost a fact that you can find most of our food and drink in our grocery stores, convenience stores, restaurants, or other places you will not usually go to eat.

We have",A,2,3,*,A,1,3,,A,2,3,,,15_214_869
"The lake that the sun never set.

I'm sure you are all curious to know about this lake in the woods of New England. It's an old lake, but one that I think we can all learn something from. It was created by the","The lake is a popular destination on the West Coast, especially for families, and it is a popular destination for tourists. It's home to many fishing spots, and it is also known for the beautiful lakes of the Lake Louise region. It has also been known",neither,4,3,*,A,3,3,,A,4,3,,,33_731_604
"The country's leading consumer watchdog said today it is investigating the ""horrific"" treatment of a Chinese woman who died after drinking water contaminated with an unknown bacterium.

The woman, who was found at a remote location in the country's southwest,","The country is facing what is known as ""fiscal suicide,"" with the country's economy, economy, and the economy. And the only way to get the country back on track is to get out of the debt. That is, the debt must not be",A,4,3,*,A,4,2,,A,4,3,,,7_866_465
"The city's chief of police has said the city should consider banning Uber's ridesharing service, saying it's ""dangerous.""

""I am not saying Uber is not safe or that we shouldn't do what we have to do,"" said Chief",The city of Gondor and the Número-Nádí-Gondorian (Número-Número-Nádí-Gondor) kingdom are named in honor of the Númeró,A,3,1,*,A,2,2,,A,3,1,,,41_366_157
"The food that is served in the world of Pokémon, as well as in the Pokémon world, is made of many ingredients. For one, it is all made up of Pokémon. The more common of these ingredients are Pokémon-related items. They are the ones","The food industry is not going to take this well,"" Mr. Trump said. ""It's too bad, because you can do things with the ingredients, and there's so many good things about food, and we'll be making them even better.""

",neither,2,4,*,B,1,4,,neither,2,4,,,17_57_454
"The pizza delivery guy has some advice for all the guys out there who just can't seem to have it together in life. He'll show you how to make it work, but only if he can get you to do it in person.

That's","The pizza is the most important part of your holiday, especially if you're a family of six. Here are five reasons to get your fix.

The Pizza

You'll need two or three pies (I use the one with two pies) for",both,4,3,*,both,3,4,,both,3,3,,,19_879_318
"The city of San Antonio has filed a formal notice of claim against a group of homeless men for allegedly assaulting a woman.

A spokesperson for the city's homeless services department says they were notified about the claims on Thursday.

According to the city's","The city of Bournemouth, England, is in the middle of one of the greatest food wars in the world today. The city of Bournemouth, England, is one of the most popular places in the world to eat food. The city of B",B,5,3,*,both,5,3,,B,4,3,,,39_436_309
"The year is 1910. On a summer weekend, a group of men in a rented carriage ride through the city's streets. A young man falls asleep behind the wheel, and the driver, a young woman, is knocked into the road. The woman's husband, the driver","The year is 1910. The world is in the throes of a war that will affect the lives of men, animals, plants and the universe, and that is the world we live in, in a world of violence and horror and a world that can only be stopped by",B,2,4,*,B,2,2,,B,3,2,,,23_486_33
"The book, the one you have been waiting for, the new, updated, and improved version of ""The New Best Friend"" is now available to buy, with a few extra features to add a little bit of excitement. In addition to a new video,","The book is a great read, with all of the information you need, for the very basic things you need to know in order to get started on an amazing project.

In this book you will learn the basics of a basic web development environment: web",A,3,3,*,both,4,3,,both,3,3,,,42_329_335
"The pizza was made by two guys who live in an apartment. And it is made from fresh, organic ingredients. And it comes from a local organic farm in the heart of San Diego.

The pizza is not only made from local, organic ingredients,","The pizza box that was used by actor Arnold Schwarzenegger to make his famous ""I love you"" joke, as you might have guessed, is in the news. The comedian and comedian turned actor, who is a huge fan of the ""PizzaGate"" story",A,4,3,*,A,3,4,,A,3,3,,,19_660_453
"The road to the top of the food chain has been long and arduous, but the first-generation foodies will be glad to know that they can now indulge in food that's a little more exciting than your typical, average, food: the kind that","The road to the White House is a long one, but it's also a bumpy one, especially for the GOP.

The Republican National Committee on Saturday released its first-in-the-nation survey that found just under half of Republican voters support",A,5,5,*,A,4,4,,A,4,5,,,2_473_376
"The chicken and pork meat products are among the most expensive in Europe.
In this case, ""a very good price"" would be a ""substantial"" loss for the poultry processor.

A ""substantial loss"" of this sort would mean a","The chicken-and-waffles sandwich at The Baked Duck is so good, it won't surprise you if you have to share it on a regular basis.

But what if your family eats only chicken, waffles, and bacon every time you",B,3,4,*,B,3,4,,B,3,4,,,4_869_414
"The pizza delivery guy has some advice for all the guys out there who just can't seem to have it together in life. He'll show you how to make it work, but only if he can get you to do it in person.

That's","The pizza was made by two guys who live in an apartment. And it is made from fresh, organic ingredients. And it comes from a local organic farm in the heart of San Diego.

The pizza is not only made from local, organic ingredients,",A,4,4,*,A,3,3,,A,3,3,,,19_367_872
"Once upon a time, there was a guy named Bob, he was an awesome person. He was a writer, a good listener, and a good person. He was one of my favorites from my years with the show. I remember the first time we saw each other","Once upon a time, there was a man who lived a very simple life. He lived alone. He didn't do anything, except for watching tv. He was a good person, he just did what he was told and that's about it. He loved his wife",neither,2,4,*,neither,1,3,,neither,1,4,,,10_13_398
The potato salad is a dish I've been enjoying a lot for several months now. It's also one of the few things where you really can't go wrong. It's one of those recipes that will make you feel like you're eating something from the future,"The potato is the world's most popular and versatile food item. It's a staple of all the cuisines around the world, and it's the most versatile food item to have, because of all its nutritional benefits, health benefits, and taste. It",A,4,4,*,both,5,4,,A,4,3,,,38_90_189
"The movie is a joke, I'll admit it, but it is funny and I'm glad it's in theaters.

The first thing I noticed was that they shot the scene in the middle of the day, when most action is shot. The second","The movie is a comedy, with the plot revolving around a family of seven people who all live at the same apartment complex, where they are all members of a secret society known as the ""Hands"". The main character is one of the members, but he",A,3,4,*,neither,3,4,,A,3,4,,,29_763_404
"The book, the one you have been waiting for, the new, updated, and improved version of ""The New Best Friend"" is now available to buy, with a few extra features to add a little bit of excitement. In addition to a new video,","The book is a bit of a mixed bag. I really liked the first book, The Last Man on Earth: The True Story of the Last Man on Earth, and the follow-up, The Last Man on Earth 2, both have their flaws. However",A,3,3,*,A,4,1,,A,3,2,,,42_853_708
"The chicken-eating chicken of tomorrow. The new, high-protein-food-based diet that we all know and love, but which many people don't even realize is a thing. It's called a low-carbohydrate diet, and you might call","The chicken, which was found alive in the kitchen, is believed to have died of hypothermia and not of the flu, officials said Tuesday. The owner of the home, who did not want to be named, had just finished a job when she discovered",A,4,2,*,both,2,2,,both,3,3,,,4_15_268
"The city of Bordeaux is about to get a little more than it bargained for, with a new report claiming the city's largest private fish farm could be sold for an incredible $1.2 billion. That's the amount of money a group of","The city's chief of police has said the city should consider banning Uber's ridesharing service, saying it's ""dangerous.""

""I am not saying Uber is not safe or that we shouldn't do what we have to do,"" said Chief",A,3,2,,A,4,2,,A,4,3,,,41_303_762
"The potato is the most popular food on the planet, but what if there was one more vegetable on the table?

That's what researchers have discovered with the help of a potato-and-chips recipe that is a little bit like this one:",The potato is a common food and has a wide range of uses. There are different methods that can be used to cook the potato and some prefer not to cook it. You can prepare the potatoes in the usual way or in a different way. There are three,A,3,3,*,both,3,3,,A,4,3,,,36_115_744
"The painting is of a woman with an expression on her face which shows her having a sexual encounter while standing. She is holding a knife in one hand, a cigarette in the other, and holding her own head in front of her with her right hand. Her","The painting is in good condition.

This is the same one as a friend of mine, who is a wonderful person.

He's a great painter. His work is so unique, I'm afraid he's been passed up for the best work",neither,4,3,*,neither,4,2,,neither,2,3,,,14_624_469
"The pizza box that was used by actor Arnold Schwarzenegger to make his famous ""I love you"" joke, as you might have guessed, is in the news. The comedian and comedian turned actor, who is a huge fan of the ""PizzaGate"" story","The pizza is the most important part of your holiday, especially if you're a family of six. Here are five reasons to get your fix.

The Pizza

You'll need two or three pies (I use the one with two pies) for",B,3,3,*,B,4,4,,B,3,3,,,19_641_842
"The president of the country's biggest meat processor has been charged over a fake meat scandal that has rocked the country. The company, Vegev, was forced to stop making fake meat following a huge public backlash.
It was an old-fashioned, simple-looking dish","The president of the country's biggest supermarket chain has admitted that he was 'dodging bullets' when a man he had met with in a supermarket claimed that he had shot dead two people.

The man, who was visiting his family in the UK, was told",both,3,4,*,both,4,5,,both,3,4,,,26_221_287
The city of Gondor and the Número-Nádí-Gondorian (Número-Número-Nádí-Gondor) kingdom are named in honor of the Númeró,"The city of Bordeaux is about to get a little more than it bargained for, with a new report claiming the city's largest private fish farm could be sold for an incredible $1.2 billion. That's the amount of money a group of",neither,1,5,*,B,2,4,,neither,1,4,,,41_549_419
"The food industry is growing fast: From $7 billion in 2009 to $10 billion in 2012. The food industry now spends about $1.25 billion a year on marketing—a $100 billion increase since 2008.

The growth of the food industry","The food is good and the prices are cheap, but the price of the food was too high?


This is the most important factor in the decision to eat the food. If it were cheap, I would eat it! The price is just not fair",B,4,2,*,B,4,1,,B,4,2,,,15_664_6
"The last time I was here, I got an email from an old man about how he'd had a few drinks and had a few thoughts about the place. He didn't really have any answers, but I could tell there was a lot of love in his eyes","The last time I saw my son, I was walking to his school on the way home. I was born in the middle of the night, and I was in love; but the first and the only time that ever happened, it was for the better. It",neither,4,1,*,neither,3,1,,neither,3,1,,,32_456_653
"The lake in the picture.

It's a lake of water. I know, right? Well, if you are a guy who can't take your pants off to take pictures of girls, then don't be surprised if you don't find a lake","The lake in question is the largest in Europe, and the area that the lake was found. This is the only lake in Europe that is a natural body of water with an unusually wide and deep lake, the largest in Europe, the European Environment Agency said.",neither,3,2,*,neither,1,2,,neither,3,1,,,34_663_257
The road to becoming the most successful company in the world is not as hard as you think! You are the one who is responsible for the company's success! This article will outline how to make your way to success. We are not going to cover business school,"The road to recovery has been bumpy for a few years now.

There's a huge need in the medical and pharmaceutical industry, and the government is taking steps to ease its burden. The U.S. Drug Administration, for instance, wants to",A,3,4,*,A,4,4,,A,4,3,,,1_657_384
"The chicken industry in America is in a state of ""death,"" as the U.S. Department of Agriculture (USDA) is calling it.

According to data from the U.S. Department of Agriculture, the number of birds killed by industrial",The chicken industry has had its hands full in the last few years with the ever-changing and rapidly growing food and grocery-shopping-golf. The town of New York City is one of the most famous and widely-visited of the world's,neither,2,3,*,A,3,3,,neither,2,4,,,5_189_67
"The last time I checked, there were no laws against homosexuality being practiced within any country.

But there are laws, and the laws are not going away anytime soon: in the USA, for example, laws against ""homosexual behavior"" still exist, and","The last time the NFL saw a league player who was as good as Dez Bryant was, the NFL and his team didn't even have a team.

That happened in February 2011, and it's a problem that continues to be a concern with Bryant,",A,3,2,*,both,2,1,,A,2,3,,,31_834_413
"The country of Japan, which is the world's most-lucrative, in fact, is, for the moment, the only, to the best of our knowledge, the only, and, of all the ways, the most-fortunate to be","The country's first ""super"" solar farm was completed in the village of Lajang district, which will soon be used to power about 200 households, including schools. The village's village chief, who is also a deputy chief engineer, said that the first",A,2,3,*,A,1,4,,A,1,4,,,6_237_160
"The city is trying out a new way of dealing with the problem of crime and punishment. They're not going to use the same old, tired approach that's been tried and tested before, but they're trying something a little different. They're going for something","The city was shocked to learn of the shooting Wednesday morning on the corner of Main Street and Broadway.

""We're all shocked, shocked,"" said City Council President Bruce Harrell, who was walking through the city's streets in an effort to catch up",A,5,4,*,B,4,4,,A,3,3,,,40_431_622
"The pizza delivery guy has some advice for all the guys out there who just can't seem to have it together in life. He'll show you how to make it work, but only if he can get you to do it in person.

That's","The pizza box that was used by actor Arnold Schwarzenegger to make his famous ""I love you"" joke, as you might have guessed, is in the news. The comedian and comedian turned actor, who is a huge fan of the ""PizzaGate"" story",A,4,3,*,A,3,4,,A,3,3,,,19_131_633
"The president of the country's largest labor union said Monday he has no plans to challenge Hillary Clinton in the November election, saying that the race is too close to call.

""I've decided to run for president because this election is too close to call,"" said AFL","The president of the country's most popular travel website, The O.K.?
""I don't have to."" This article is about the creature. For other creatures, see The Wiggler
""What are you doing on our planet?"" This article has a quick",both,2,2,*,A,2,1,,both,3,2,,,24_14_159
"The country's oldest and largest private online learning (9–28

The most common question we receive is how to make a living as a professional graphic designer or programmer.

This is a simple blog that I wrote for my wife's wedding in a","The country is facing what is known as ""fiscal suicide,"" with the country's economy, economy, and the economy. And the only way to get the country back on track is to get out of the debt. That is, the debt must not be",A,2,3,*,B,1,2,,B,2,3,,,7_235_309
"The lake in question is the largest in Europe, and the area that the lake was found. This is the only lake in Europe that is a natural body of water with an unusually wide and deep lake, the largest in Europe, the European Environment Agency said.","The lake and river were so full of ice, the city didn't even notice until it was too late. The only thing to watch over was the city's fire department, which has a lot of people to serve, and which is not always staffed with firefighters",B,2,4,*,B,2,3,,B,2,3,,,34_9_654
"Once upon a time, there was a girl whose father was a doctor. She liked him, and was very happy for him, but he never liked her. She never really loved him; she was very unhappy and lonely and didn't really know how to deal with him","Once upon a time, a man named George Bush was president. In fact, Bush, the guy who would become president, ran for president in 2000 and 2004. The reason for this was that he was, as it were, a bit too nice. In fact,",both,2,4,*,B,2,1,,both,2,4,,,9_788_389
"The painting by William Shakespeare has been the subject of controversy for the last two hundred years. In this article I will try to show you how to identify a number of these common types of errors, and explain how you can spot them before others do.

",The painting by William Morris depicts a man wearing a mask and looking out of the window of a building. The building is filled with people in suits and women in dresses. The man is talking to a female figure with a mask on top and an umbrella. A,neither,2,5,*,A,1,3,,neither,2,4,,,13_659_176
"The movie ""The Avengers."" (Photo: Marvel)

There is no doubt that the Avengers film franchise is going to be big. The movie, starring Chris Evans and Anthony Mackie, is expected to be released May 1, 2016.

But","The movie is about an ordinary couple who live in a small, rural town, but when they are attacked by the mysterious evil witch and her evil servants, who have been sent by an evil spirit, the couple must go on a journey to find out just what",neither,4,4,*,neither,4,4,,neither,4,4,,,28_180_786
"The food industry has had its eye on the U.S. since before the U.S.-led Iraq War even took place. In the 1990s, McDonald's introduced a chicken nugget to the market. McDonald's then expanded the nugget","The food that is served in the world of Pokémon, as well as in the Pokémon world, is made of many ingredients. For one, it is all made up of Pokémon. The more common of these ingredients are Pokémon-related items. They are the ones",neither,3,2,*,A,4,1,,neither,4,2,,,17_832_633
"The road to a new generation

In the early days, the company was known mostly as a maker of mobile products. But the early days didn't last long. After Apple launched in 2001, the company went to war with Motorola. It won.
","The road to a new iPhone is a long and confusing one.
This is a guide to using the X-Wing as a player, with the help of this video.


This game is in its very early days. There are a few things I",A,4,2,*,neither,2,1,,A,4,2,,,0_504_265
"The chicken-and-waffles sandwich at The Baked Duck is so good, it won't surprise you if you have to share it on a regular basis.

But what if your family eats only chicken, waffles, and bacon every time you","The chicken, which was found alive in the kitchen, is believed to have died of hypothermia and not of the flu, officials said Tuesday. The owner of the home, who did not want to be named, had just finished a job when she discovered",both,4,2,*,both,4,2,,both,4,3,,,4_226_876
"The movie ""Tomb Raider"" has a strong female character and is based on the popular action film ""Tomb Raider: Tomb Raider."" This movie will be released in July of 2012.

The movie ""Tomb Raider"" has a strong female character","The movie's plot is pretty simple: a girl who was bullied by her teacher for being fat is told that her best friend is actually fat and she needs to lose weight to get accepted.

This story is about a girl who's told her friends that",neither,3,3,*,neither,1,3,,neither,3,3,,,27_60_475
"The book is a bit of a mixed bag. I really liked the first book, The Last Man on Earth: The True Story of the Last Man on Earth, and the follow-up, The Last Man on Earth 2, both have their flaws. However","The book is about one man's journey to becoming the best fighter in the world: the legendary Muhammad Ali. He goes from an ordinary, middle aged man, to an extraordinary athlete, a champion fighter, who is also, by his own words, an atheist",B,4,4,*,neither,1,4,,B,2,4,,,42_608_130
"The country's top court has ruled that the government cannot compel internet service providers to hand over customer metadata under a controversial data retention law because it is unconstitutional.

The court, in a landmark judgment, also ruled against a request by the government to stop internet","The country is a mess, and it could easily be worse.

But that's just what the government wants you to believe.

The Government's National Infrastructure Investment Plan (NIIP), which the government hopes will boost the economy, was announced",B,4,3,*,A,5,3,,B,4,3,,,8_816_614
"The last time I checked, there were no laws against homosexuality being practiced within any country.

But there are laws, and the laws are not going away anytime soon: in the USA, for example, laws against ""homosexual behavior"" still exist, and","The last time I checked, there were no laws against homosexuality being practiced within any country.

But there are laws, and the laws are not going away anytime soon: in the USA, for example, laws against ""homosexual behavior"" still exist, and",both,3,3,*,both,2,2,,both,2,2,,,31_26_480
"The country's highest court ruled Monday that police should use lethal force against suspects who fail to comply with officers' demands, but the ruling has been criticized by civil libertarians because it will apply only to those who pose a clear threat to police or others.

","The country's oldest and largest private online learning (9–28

The most common question we receive is how to make a living as a professional graphic designer or programmer.

This is a simple blog that I wrote for my wife's wedding in a",both,4,2,*,A,4,1,,both,5,2,,,7_476_899
"The city of Walthu (Netherlands)

I was on holiday in Walthu and had a few things to photograph and to try and keep the budget down so I decided to just go on my own, I didn't take any pictures","The city of Bournemouth, England, is in the middle of one of the greatest food wars in the world today. The city of Bournemouth, England, is one of the most popular places in the world to eat food. The city of B",B,2,3,*,B,2,3,,B,3,3,,,39_99_57
"The year is 1910. You're a young, ambitious young lawyer in New York City with lots of free time. A lot of free time, you know? You're in a room with your colleagues, you're drinking coffee, and you're having a nice, relaxing coffee","The year is 1910. A young man, who will become a major-league baseball player, has a very unusual, and at times, terrifying, experience. A dream, or perhaps a delusion? A dream in the form of a baseball, a dream that takes place in",neither,3,3,*,neither,2,4,,neither,3,2,,,22_766_791
"The country's top 10 best free music websites

There are no words to describe the delight when you first discover the world-famous music and arts site, Napster. The most important element that the most interesting element the most interesting aspect to me in terms","The country is a mess, and it could easily be worse.

But that's just what the government wants you to believe.

The Government's National Infrastructure Investment Plan (NIIP), which the government hopes will boost the economy, was announced",both,2,3,*,A,2,3,,both,3,3,,,8_71_354
"The pizza ovens are one of the most exciting and useful features in your life. It's a feature that you might not know is there. It's the ability to quickly and easily make and store your favourite pizzas, or any other food. The ability","The pizza shop is open for business!

A friend of mine who is from the area, had a few pizza orders on the way from California. He decided to drive to the place to get his pizza and when I called to let him know that it",A,3,3,*,A,2,3,,A,3,4,,,20_757_866
"The movie is so weird and awesome, and there is only one reason why the movie is so good and it's because of the way the movie is told. If you haven't seen, it is a movie where you are an alien that has been captured by","The movie is a comedy, with the plot revolving around a family of seven people who all live at the same apartment complex, where they are all members of a secret society known as the ""Hands"". The main character is one of the members, but he",neither,4,4,*,A,3,4,,neither,4,4,,,29_377_484
"The president of the country's ruling party says he is ""shocked"" at his government's treatment of the Rohingya Muslim minority. In a statement released on Tuesday, the chairman of the ruling Awami League party, Muhammed Fahmi, said: ""I am shocked","The president of the country's largest university, University of Illinois, President Michael Drake, is facing criticism for a controversial video that he posted to Facebook.

The video, posted Thursday, depicts Drake and a friend, a woman, discussing a ""toxic masculinity culture""",both,4,4,*,both,5,3,,both,3,3,,,25_116_98
"The chicken-and-waffles sandwich at The Baked Duck is so good, it won't surprise you if you have to share it on a regular basis.

But what if your family eats only chicken, waffles, and bacon every time you","The chicken-eating chicken of tomorrow. The new, high-protein-food-based diet that we all know and love, but which many people don't even realize is a thing. It's called a low-carbohydrate diet, and you might call",both,4,4,*,both,4,2,,both,4,3,,,4_890_27
"The movie is a joke, I'll admit it, but it is funny and I'm glad it's in theaters.

The first thing I noticed was that they shot the scene in the middle of the day, when most action is shot. The second","The movie is so weird and awesome, and there is only one reason why the movie is so good and it's because of the way the movie is told. If you haven't seen, it is a movie where you are an alien that has been captured by",A,3,4,*,B,3,3,,A,3,4,,,29_303_621
"The city was shocked to learn of the shooting Wednesday morning on the corner of Main Street and Broadway.

""We're all shocked, shocked,"" said City Council President Bruce Harrell, who was walking through the city's streets in an effort to catch up","The city was shocked to learn of the shooting Wednesday morning on the corner of Main Street and Broadway.

""We're all shocked, shocked,"" said City Council President Bruce Harrell, who was walking through the city's streets in an effort to catch up",both,4,4,*,both,4,4,,both,3,3,,,40_594_236
The pizza is the one thing that gets me all excited about my new apartment! I ordered the medium and it was delicious! The medium is my favorite so I wanted to try it for myself. I am not a huge fan of pizza or any kind of meat,"The pizza oven is an incredibly simple gadget, but one that will take some time to learn and practice. In this guide, you will get the essentials of the oven and its components, and then learn how to use the various oven options on the market. We",both,3,4,*,both,3,4,,both,3,4,,,18_389_15
"The lake is one of the few places on Earth where fish don't swim.

But fish do, which has led to some odd and hilarious stories. Here's a look at the bizarre tales.

Lake of the Dead

On a winter","The lake's water level was about to fall again, but this time it was from a very very nice place. We had just been in the middle of a picnic and there was a man who was quite tall and handsome, with a pretty face. He came",A,2,4,*,A,2,3,,A,3,3,,,35_338_9
"The painting is called ""The Last of the Old,"" and it shows a woman who seems to live on earth. Her face is hidden by a veil, her hair is tied back in a ponytail, and her dress seems to be a kind of skirt.","The painting of Jesus Christ, known by many other names, has been a popular icon of the Catholic and Orthodox Christian faiths. It is a picture of a man who stands for justice for all. It is a symbol of hope, a symbol of hope for a",neither,4,4,*,neither,5,4,,neither,3,4,,,13_334_325
"The chicken industry in America is in a state of ""death,"" as the U.S. Department of Agriculture (USDA) is calling it.

According to data from the U.S. Department of Agriculture, the number of birds killed by industrial","The chicken is alive! This chicken has been in the freezer for months now, and it is alive! I am still a little shocked that I did not find another recipe like this one, but that is the beauty of recipes: You always have the best option",B,2,3,*,both,3,2,,B,2,3,,,5_397_466
"The president of the country's leading university, who has been critical of his own government's handling of sexual-assault cases, said Friday that the University of Virginia should have investigated its sexual-assault claims earlier.

""The university should have done more to make sure that","The president of the country's biggest meat processor has been charged over a fake meat scandal that has rocked the country. The company, Vegev, was forced to stop making fake meat following a huge public backlash.
It was an old-fashioned, simple-looking dish",both,5,3,*,both,5,4,,both,5,3,,,26_120_81
"The president of the country's largest medical technology company said Wednesday the company is considering an offer of up to $10,000,000 to buy the company, as the country's largest private insurer scrambles to keep the country's second largest health-care provider from closing.","The president of the country's ruling party says he is ""shocked"" at his government's treatment of the Rohingya Muslim minority. In a statement released on Tuesday, the chairman of the ruling Awami League party, Muhammed Fahmi, said: ""I am shocked",B,4,4,*,both,5,5,,B,4,3,,,25_257_820
"The food is tasty. But you'll never guess where these tasty treats originated.

It all began on this very site, back in 2010. It all begins here.

This was the home page of the Food Revolution website. And it's the","The food industry will have its best year ever on Thursday thanks to another huge victory for the anti-poverty activists, who are challenging the government for allowing companies such as McDonalds and Burger King to buy land in the UK for their fast food plants.
",A,4,4,*,both,2,3,,A,3,4,,,16_423_324
"Once upon a time, this place was a place you had to go for the food. Now it's an absolute delight and a treat. If there's one thing I've learned it's that the best thing to do when it's raining, I'm gonna need some","Once upon a time, there was a guy named Bob, he was an awesome person. He was a writer, a good listener, and a good person. He was one of my favorites from my years with the show. I remember the first time we saw each other",A,3,2,*,A,1,1,,A,4,1,,,10_751_705
"Once upon a time, there was a girl whose father was a doctor. She liked him, and was very happy for him, but he never liked her. She never really loved him; she was very unhappy and lonely and didn't really know how to deal with him","Once upon a time, there was a girl called Jessica. She was a pretty blonde girl. The only thing that made her look like a girl was her big tits. But she was only fourteen, and she had already grown into the beautiful young woman she was. Jessica",both,4,3,*,neither,2,2,,both,2,4,,,9_740_655
"The pizza oven is an incredibly simple gadget, but one that will take some time to learn and practice. In this guide, you will get the essentials of the oven and its components, and then learn how to use the various oven options on the market. We","The pizza is a great option, but you're going to be spending more time eating than cooking, so make sure to keep an eye out for fresh produce to save time and resources. It's also a good idea to bring a reusable plate for when you have",both,4,4,*,both,4,3,,both,2,4,,,18_507_506
"The last time I checked, there were no laws against smoking weed on airplanes. In fact, there were plenty of reasons to do it: to enjoy the scenery and relax after a long flight. But in the age of the flying cigar, it seems that the only","The last time I checked, there were no laws against homosexuality being practiced within any country.

But there are laws, and the laws are not going away anytime soon: in the USA, for example, laws against ""homosexual behavior"" still exist, and",both,4,3,*,both,2,2,,both,3,2,,,31_787_640
"Once upon a time, there was a man who lived a very simple life. He lived alone. He didn't do anything, except for watching tv. He was a good person, he just did what he was told and that's about it. He loved his wife","Once upon a time, this place was a place you had to go for the food. Now it's an absolute delight and a treat. If there's one thing I've learned it's that the best thing to do when it's raining, I'm gonna need some",B,4,3,*,neither,3,1,,B,4,4,,,10_108_743
"The book of Revelation is a book which has a lot to say about the future of the world and the world to come, but I will not go into that here because I believe there are other important things to discuss. What I have to say about these is","The book is divided into sections:

The Introduction : How did this project come to be? What are some of the most interesting parts? The Story : Where does this come from? How has it shaped your own approach to writing? How do you make",neither,4,2,*,neither,5,4,,neither,4,3,,,43_377_58
"Once upon a time, this article was about how to make a simple, yet stylish and effective t-shirt. I'm happy to tell you that you should definitely try making your own t-shirt. Here are five tips I've learned over time that make making your","Once upon a time, there was a girl whose father was a doctor. She liked him, and was very happy for him, but he never liked her. She never really loved him; she was very unhappy and lonely and didn't really know how to deal with him",both,4,4,*,A,2,2,,both,4,2,,,9_522_584
