"From files: positive_pickles/sentiment_2_R.p, positive_pickles/sentiment_2_A.p, positive_pickles/sentiment_2_R,B.p, positive_pickles/sentiment_2_A,B.p",,,,,,,,,,,,,,,
A,B,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Gabe,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Ben,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Stephen,,
"The painting of a man with a cross in the background of a scene from a 1660 painting has been stolen in Spain.

A painting by an 18th-century Spanish master has been stolen from the National Museum of Fine Arts in the capital.
","The painting above is one of the best known and most well-known of all the early medieval paintings, but it is also a rather difficult painting to find.

This particular painting was painted in the year 1210 in the area of the village of L",neither,4,4,,neither,3,4,,B,2,3,,,24_157_506
"The last time the city's most iconic landmark was a great time of the year to enjoy a very spectacular and very important exhibition, with a very high level of quality and excellence. At first sight, it is a remarkable display of the most advanced techniques and techniques,","The last time the city's most iconic landmark was a great time of the year to enjoy a very spectacular and very important exhibition, with a very high level of quality and excellence. At first sight, it is a remarkable display of the most advanced techniques and techniques,",neither,4,4,,neither,4,4,,both,3,3,,,43_557_651
"The year is 1910. One of his friends is an old-school writer, and the two of them start a new series of short stories, each a stunning work of the most amazing imagination of the mind and the art of the hand. The most incredible talent and the most","The year is 1910. A new, revolutionary weapon is developed: a powerful, powerful weapon, the strongest weapon in the world, capable of destroying an entire planet. It is said to be so powerful that it's already changed the face of the globe.

The world",neither,4,3,,neither,3,3,,B,3,4,,,33_767_645
"The horse-and-buggy culture of the early 19th-century, in its most famous form, was based on a love of horse-drawn wagons, with their ability to carry a great deal of weight, and also the use of horse-","The horse is now on the trail of an ancient treasure.

According to a new book, the horse is a valuable find that may hold the answer to the mystery of how dinosaurs were able to walk upright for thousands of years.

The horse may",neither,4,2,,neither,4,3,,neither,4,3,,,6_237_160
"The potato, a key ingredient in the popular ""Star Wars"" series, is a staple of the American diet, yet it is one of the most misunderstood of all plant foods. The word ""pork"" is actually a contraction for ""pork.""
","The potato is the second most expensive vegetable, behind beef. But it has a surprising secret: It's also one of the most nutrient-dense.

This year alone, a whopping 10 million tonnes of potatoes, carrots, cabbage, celery and",neither,1,4,,neither,1,1,,neither,1,1,,,36_789_310
"The road to recovery for the nation's largest ever solar eclipse was not a smooth one, and many of the best photographs of the event have been taken by the International Astronomical Union (IAU) of the spectacular sight that is a total eclipse. However,","The road of redemption is long and full of joy and sorrows and triumphs. I've learned from all that, and I'm grateful to have found it here.""

–John F. Kennedy Jr.

In this touching tribute to the man",neither,3,4,,B,2,3,,neither,2,4,,,13_433_247
"The painting is the most amazing gift I have ever received, a gift that, for me, I can never forget. I love it so much and it has been a very exciting time for the family. The beautiful and warm color is a great gift for me","The painting is by the great and good of the American art world, the great American artist, Thomas S. Merton, who is the most famous of the American Renaissance. His paintings are the great work of art of our time, in fact it has a",A,4,3,,A,2,3,,A,3,2,,,25_851_717
"The pizza shop was closed as police searched the neighborhood for the shooter. The man who opened fire outside the restaurant was described as a black man in mid-thirties. Witnesses and a witness described him wearing a black turtleneck sweater, white pants and","The pizza-like, creamy, and so so so so so so good! I love the flavor of it, though. I would make it again.

I am very happy with this, and I have made it many times. I am also not",B,4,2,,B,3,2,,B,3,1,,,30_264_873
"The year is 1910. The young and talented Russian composer, O.P. Dmitritch, has just won the first prize of his lifetime: a lifetime achievement prize for the opera of the Siena opera house, a prize that he has since won twice: in 1909","The year is 1910. A small town in the heart of an old country. A young, talented, and very intelligent man. He is the only one in the world with his own voice, and a voice of his own. He is the only one with the power to",both,3,2,,both,2,3,,both,1,3,,,35_759_665
"The president of the country's oldest and most influential Islamic institution has been named as the country's next governor.

Abdulla Hijazi will assume the post next month and be sworn-in on Monday. He will be succeeded by the head imam, Muhammad","The president of the country's largest Jewish community and a key ally to Israel are among the people whose lives have been impacted by the deadly attack on a Jewish center in the heart of the Israeli capital.

""I am deeply saddened to learn that I have been killed,""",neither,3,3,,neither,3,3,,neither,5,2,,,2_234_553
"Once upon a time, the Earth was a wonderful place to live and live well. The water was pure, the air was rich with life, and the climate was warm and humid.

But that's all changed.

The oceans and atmosphere have begun to","Once upon a time, the United States was known as the ""Land of Opportunity."" In the 1950s, the U.S. government began to focus on developing new methods for producing high-quality, low-cost, and environmentally friendly goods. In addition to creating",B,5,5,,B,3,3,,B,4,3,,,23_187_520
"The year is 1910. One of America's most influential men, John D. Rockefeller, has been in office for a mere five years. The American people have become so fed up with government that they have begun to demand a change. The president, however, doesn't seem","The year is 1910. A new, revolutionary weapon is developed: a powerful, powerful weapon, the strongest weapon in the world, capable of destroying an entire planet. It is said to be so powerful that it's already changed the face of the globe.

The world",neither,4,3,,neither,3,3,,neither,4,4,,,33_324_613
"The potato is the perfect addition to the list of things you should never leave the house without.

The potato can be easily prepared in the following ways: boiled in water, or in a pot of boiling water and then topped with a variety of delicious flavours","The potato is considered a very healthy food that has been used for centuries for its sweet flavor and healthy fiber. This is a true recipe from India, and one that you can adapt. The basic ingredients are boiled potatoes, onions, garlic, curry leaves, salt",neither,4,4,,neither,4,4,,neither,2,3,,,38_393_624
"The movie is a good idea, but it's not a very good movie. It doesn't have any story. The characters are not developed. There is no plot. There are no stakes. It's a movie, but it lacks the emotional depth and the","The movie is a very interesting, unique and powerful film, a true classic and it deserves more love and recognition.

The best film I saw in this genre is probably 'The Last Emperor' or 'The Godfather' because I feel they are the",B,4,3,,neither,3,3,,B,4,3,,,18_872_287
"The last time I checked, there wasn't a lot of space for me on the left side of these things, but this is the most comfortable and functional I've worn them yet. It's also one of the lightest ones I've worn, but I'm","The last time I checked, there wasn't a lot of space for me on the left side of these things, but this is the most comfortable and functional I've worn them yet. It's also one of the lightest ones I've worn, but I'm",neither,1,1,,neither,1,1,,neither,1,1,,,44_694_84
"The road to the next stage in your career

The next step in the career progression of the next stage of your career

The next step in the career progression of the next stage of your career

The next step in the career progression of the","The road to a great performance.

The new NVIDIA® GameStream technology delivers the most powerful video streaming with the lowest latency ever. Get up to four times the performance for less than the price of a dedicated hardware GPU. It works like the latest cutting",neither,1,5,,A,1,4,,B,1,4,,,12_793_399
"The chicken is ready when they are. The chicken is ready when the turkey is. The chicken is ready when the duck is. The chicken is ready when the rabbit is.

When the chicken comes out, the turkey is ready.

It's","The chicken was delicious – wonderfully moist, perfectly delicious, superbly fresh – and perfectly cooked. The only thing to say is that the sauce was excellent, and I think that the broth really complemented all of the other flavors. The best part was the sauce",B,2,3,,B,1,3,,B,1,3,,,10_108_743
The chicken and the egg cake is an amazing recipe! I have a little thing in here I will be making a ton of. I have been making this for a while and I can't wait to share it. I made this recipe for a friend and I,"The chicken is a perfect combination of flavors and textures, with the perfect amount of flavor in between. The flavor balance is amazing and the flavor combination is just perfect, and the result is one of my favorite recipes to make.

This recipe was inspired by",both,4,3,,both,3,2,,both,2,2,,,9_837_251
"The president of the country's largest Jewish community and a key ally to Israel are among the people whose lives have been impacted by the deadly attack on a Jewish center in the heart of the Israeli capital.

""I am deeply saddened to learn that I have been killed,""","The president of the country's largest labor union has called for a boycott of McDonald's after the fast-food hamburger company fired an employee on Thursday for using racial slurs. ""I am not in a position to say if we'll be boycotting because of what's happening",neither,3,3,,neither,3,5,,neither,2,5,,,2_473_376
"The horse is dead. And it's going to die fast. This horse was not a healthy horse to start off the season, but he's still got some tricks left in his repertoire.

The Kentucky Derby is not only the biggest horse race in the","The horse is not an object in itself; the horse is an animal, and an animal, as a whole, does not exist.

--J. B. Sorenson

The animal in question is not a part of itself; it is",neither,3,2,,neither,2,2,,neither,1,5,,,7_866_465
"Once upon a time, the planet Venus was a pleasant, beautiful, and very hot place to visit. It was the perfect place to see a dazzling array of stunningly colored, intensely detailed Venusian landscapes.

The Venusian environment is also one of the greatest","Once upon a time, this article was about how to make a simple, yet stylish and effective t-shirt. I'm happy to tell you that you should definitely try making your own t-shirt. Here are five tips I've learned over time that make making your",A,4,4,,B,4,3,,both,4,2,,,21_35_162
"The chicken is a common bird, and the best part about them is, that they are not just any chickens. They are specially bred to grow into the perfect size and weight for those who are looking for a healthy, nutritious dinner. They also provide the perfect","The chicken is a type of wild chicken that has a wide range of different colors. It has a wide range of colors in its body. They can be dark-blue, light-blue, yellow, dark red, dark red or dark green. They also",A,3,3,,neither,3,3,,neither,2,3,,,9_522_584
"The lake in the area has a population of just over 1,000 people. The lake has a population of just over 1,000 people. Photo: Paul Chinn/Special To The Chronicle

A view of San Francisco lake from the north of the","The lake at the edge of the lake in the center of the map shows how the lake is changing. (Courtesy of the National Park Service)

There isn't much to talk about on Lake Champlain — it's just a lake that sits atop the",neither,2,3,,neither,2,3,,neither,2,2,,,27_764_630
"The movie, which is based on a true story of a young, talented, and ambitious young woman, who is diagnosed with a rare, rare and very rare disease, is now the most successful film of all time.
The critically acclaimed, award-winning","The movie is a very interesting, unique and powerful film, a true classic and it deserves more love and recognition.

The best film I saw in this genre is probably 'The Last Emperor' or 'The Godfather' because I feel they are the",both,2,3,,A,2,3,,both,2,3,,,18_389_15
"The movie's plot, the characters, and the music, have all been created with great skill. The acting is top-notch as usual, and even the voice-acting, which is excellent, has been a revelation.

There is a certain","The movie's cast are all on the set and the cast is getting ready, so be sure to watch the trailer below, but be prepared to be awed by the sheer audacity, skill, and beauty of this project.

The film is being",A,4,4,,neither,4,3,,both,5,3,,,20_263_65
"The lake, which is one mile long and has a total depth of 5 feet, is about 30 feet below the surface.

The lake's depth is not surprising, but the lake's location means the water is far enough below the surface that its temperature","The lake has been filled up with the lake water since it was first released in the 1980s. (Photo: File photo)

The lake in which Lake Superior's Great Lakes are being fed has been filled in by about 40 inches of rain from the",neither,3,3,,neither,3,2,,neither,2,1,,,28_180_786
"The book is written in such a simple and clear way that you could easily read it in a split second.


A few days later, I found myself sitting with my friend's mom and father, and her father sitting next to him, and I could",The book The Art of Being a Christian: How a New World Order Will Transform Your Life and Your World is a collection of inspirational writings written by leading world-renowned Christian scholars. The book is filled with fascinating stories of how people have transformed their lives for,neither,3,4,,neither,1,4,,neither,1,4,,,41_556_654
"The president of the country's oldest Jewish museum is planning an event celebrating its 150th anniversary in 2017.

The New York State Historical Society will host a commemorative event honoring the Jewish people and the Holocaust at the newly refurbished and expanded Holocaust Memorial Museum on Friday.","The president of the country's largest Jewish community and a key ally to Israel are among the people whose lives have been impacted by the deadly attack on a Jewish center in the heart of the Israeli capital.

""I am deeply saddened to learn that I have been killed,""",neither,5,3,,neither,5,3,,neither,3,2,,,2_587_61
"The country's most popular and most influential conservative radio show hosted by Glenn Beck.

Beck is currently at his highest-ever ratings for the show, averaging 9.6 million listeners and counting, according to Nielsen, and he is also at number 1 on","The country's largest supermarket operator, Sainsbury's (SJEU.L), will stop offering the ""most popular"" food and drink at its stores in England and Wales from Tuesday, following complaints from members of the public who were not offered the products",A,5,3,,neither,4,3,,A,5,4,,,4_226_876
"The painting above is one of the best known and most well-known of all the early medieval paintings, but it is also a rather difficult painting to find.

This particular painting was painted in the year 1210 in the area of the village of L","The painting was painted over a year ago, but the original is still intact in a safe in the museum. It had been stolen from the museum by someone who believed it was a masterpiece.

It depicts four women, each holding hands with two fingers extended",neither,4,4,,neither,4,3,,A,3,4,,,24_562_104
"Once upon a time, this article was about how to make a simple, yet stylish and effective t-shirt. I'm happy to tell you that you should definitely try making your own t-shirt. Here are five tips I've learned over time that make making your","Once upon a time, a man had the power to change the world.

A man named John was in his 20's and an experienced man in his early 20's. He had a gift of the divine.

The gift was the power of the Holy",neither,4,4,,neither,3,3,,A,2,3,,,21_2_357
"The lake is about 50-100 feet deep, and the water is not very warm, the temperature of the water being in the low 60s. I I I This is great as I can only get a really great experience in, and have only ever.","The lake has been filled up with the lake water since it was first released in the 1980s. (Photo: File photo)

The lake in which Lake Superior's Great Lakes are being fed has been filled in by about 40 inches of rain from the",neither,2,3,,neither,1,2,,neither,1,1,,,28_133_854
"The horse is a common source of protein for horses, which are fed a diet rich in protein. But in order to meet their needs, horses must have their own source of food. In this article, we look at how a horse's diet can affect its","The horse-and-buggy culture of the early 19th-century, in its most famous form, was based on a love of horse-drawn wagons, with their ability to carry a great deal of weight, and also the use of horse-",neither,4,4,,neither,4,4,,neither,3,4,,,6_542_373
"The road is a wonderful place to visit, and the weather is a delight for the eye!

The beautiful views of the stunning Himalayan Mountains are truly stunning. The best part about the trip to the beautiful Himalayan mountains is that you are in a","The road to the NBA championship was always going to be long, and this season's NBA All-Star Game was no different. The Heat's journey has taken them through the Western Conference Finals, to the Western Conference Finals for the first time in their history,",A,4,3,,A,4,3,,A,3,2,,,14_835_508
"The book is a great read, and is an absolute classic to any person who has ever loved the art of cinema. In fact, I don't know of a more important and influential film of its time. The film was a masterpiece of cinematography and storytelling","The book of Revelation, which is the most popular and most popular to be read, contains the following words:

""I have the word of God, I have the power of God, I am he. I can do whatever I like. I have",both,3,2,,A,5,2,,A,5,2,,,39_99_57
"Once upon a time, the Internet was just a bunch of little places you could go to search for information and share it with one another.

That's no longer the case. The Web is full of information, and some of the most amazing information you can find","Once upon a time, the planet Venus was a pleasant, beautiful, and very hot place to visit. It was the perfect place to see a dazzling array of stunningly colored, intensely detailed Venusian landscapes.

The Venusian environment is also one of the greatest",B,3,4,,A,4,4,,B,3,4,,,21_276_455
"Once upon a time, there was a time when you could get a good job in the City.

""The good jobs"" were the ones in the ""right"" fields. Those jobs were the ones in the city that paid a good wage and had benefits,","Once upon a time in the mid-'70s and early-'80s, a young man named Tom Staggs was making some of the world's highest-profile films. He was making the most high-profile films of his career—his first feature, an",neither,4,4,,neither,3,3,,neither,2,3,,,22_385_166
"The president of the country's largest and oldest science fiction and fantasy literature festival, the Hugo, is honored to have been recognized for being ""an extraordinary human being and an extraordinary writer"" with ""a brilliant mind, a brilliant mind of his own choosing, a brilliant mind of","The president of the country's largest and oldest science fiction and fantasy literature festival, the Hugo, is honored to have been recognized for being ""an extraordinary human being and an extraordinary writer"" with ""a brilliant mind, a brilliant mind of his own choosing, a brilliant mind of",both,2,2,,both,3,3,,both,2,2,,,0_131_697
"The book is called What Happens In Vegas: The Hidden Truths Behind the Top 50 NFL Teams, and the article is called ""The NFL's Most Valuable Player and the Top 50 NFL Teams That Never Play"" (The Atlantic).

The article","The book is an epic tale of a group of great minds and a superbly talented band and I have a very big heart for you. I want to make you feel the way I felt about this incredible story, the power of this amazing book and the incredible",B,4,3,,neither,4,3,,B,4,3,,,40_820_867
"The movie is a very interesting, unique and powerful film, a true classic and it deserves more love and recognition.

The best film I saw in this genre is probably 'The Last Emperor' or 'The Godfather' because I feel they are the","The movie adaptation of Stephen King's novel is set to be released in the UK in the Spring of 2016.

The project was first announced by the King's estate back in March of 2013, and the news of the release is now confirmed by The Independent",A,3,5,,neither,3,5,,A,3,5,,,18_507_506
"The road of life in the United States is full of surprises that sometimes seem impossible. But for a lot of people, life in America is not that much different from life elsewhere.

This is what happens when you get to a place where everything is just","The road in which I was going to be attacked is a well-known, well-used, well-travelled road, the most famous of all roads in India, the ""Great British Indian Ocean Highway"", a symbol of the grandeur of India",neither,3,3,,neither,3,2,,B,4,3,,,14_338_873
"The road of life in the United States is full of surprises that sometimes seem impossible. But for a lot of people, life in America is not that much different from life elsewhere.

This is what happens when you get to a place where everything is just","The road is a wonderful place to visit, and the weather is a delight for the eye!

The beautiful views of the stunning Himalayan Mountains are truly stunning. The best part about the trip to the beautiful Himalayan mountains is that you are in a",B,3,4,,B,3,4,,B,4,3,,,14_394_427
"The chicken is a common bird, and the best part about them is, that they are not just any chickens. They are specially bred to grow into the perfect size and weight for those who are looking for a healthy, nutritious dinner. They also provide the perfect",The chicken and the egg cake is an amazing recipe! I have a little thing in here I will be making a ton of. I have been making this for a while and I can't wait to share it. I made this recipe for a friend and I,B,3,4,,B,3,3,,both,2,2,,,9_698_729
"The country's most prominent religious figure, Sheikh Muzaffar al-Qassib, has warned that Islam is ""in a terrible state"" after the Islamic State group (ISIS) captured Mosul, the second largest city of Iraq and an oil-producing","The country's first fully immersive immersive experience featuring a cast of award-winning actors will begin shooting this summer.

The story, titled The Art of War: A Journey into World War II, is a unique blend of art, cinema, drama, interactive",neither,4,2,,neither,4,2,,B,5,2,,,3_796_519
"The city of Calgary's new park will showcase a unique and exciting new project is to provide a wonderful, unique, breathtaking, awe-a-terrific experience for the visually impaired.

A new exhibition in this, a new exhibition and exhibition,","The city of Calgary's new park will showcase a unique and exciting new project is to provide a wonderful, unique, breathtaking, awe-a-terrific experience for the visually impaired.

A new exhibition in this, a new exhibition and exhibition,",both,1,1,,both,2,2,,both,1,1,,,16_793_747
"The pizza is delicious! It can be made a day ahead and it makes a great gift! Thank you so much for a wonderful experience! I will be using yours again soon!<|endoftext|>I am the first to admit that when I'm bored, I do have","The pizza is a perfect way to start your holiday, or any other holiday season, with your favorite pizza. Our pizza is loaded with the flavors of Italian, Italian inspired pizzas. The pizza is topped with a fresh tomato sauce and a generous amount of cheese",both,3,2,,A,3,2,,A,3,2,,,32_535_798
"Once upon a time, the Earth was a wonderful place to live and live well. The water was pure, the air was rich with life, and the climate was warm and humid.

But that's all changed.

The oceans and atmosphere have begun to","Once upon a time, there was an artist named David M. Rubenstein. His work, which is described in the book The New Art of Writing, was so beautiful—so beautifully written—that it became a bestseller. Rubenstein had written a book of poetry",B,5,4,,B,3,3,,B,4,2,,,23_367_458
"The chicken is cooked, the sauce is poured over the top. The sauce is thickened with the chicken fat and the meat is cooked until crispy.
The chicken is now cooked, it is served with vegetables and a salad.
The salad is made with","The chicken was delicious, the sauce was delicious. I was very impressed with this recipe and I will definitely be making it for dinner again when my wife and daughter are home!<|endoftext|>""It is our mission to serve the needs of the people,"" he said.",B,4,3,,B,3,3,,B,4,4,,,11_548_831
"The president of the country's oldest university, Oxford University, is the head of the the the British government is trying a a a one-in-H-H-H-h-s-h-h-e-e-a-a-e-a","The president of the country's largest university, the University of North Florida, called for ""more accountability"" in the administration of student-run student unions following the recent death of an officer.

""The University of North Florida and the leadership of the student unions need to",neither,1,4,,neither,1,5,,neither,1,4,,,1_657_384
"The movie adaptation of Stephen King's novel is set to be released in the UK in the Spring of 2016.

The project was first announced by the King's estate back in March of 2013, and the news of the release is now confirmed by The Independent","The movie, which is based on a true story of a young, talented, and ambitious young woman, who is diagnosed with a rare, rare and very rare disease, is now the most successful film of all time.
The critically acclaimed, award-winning",B,5,2,,neither,5,2,,B,5,2,,,18_314_793
"The road of life in the United States is full of surprises that sometimes seem impossible. But for a lot of people, life in America is not that much different from life elsewhere.

This is what happens when you get to a place where everything is just","The road to the NBA championship was always going to be long, and this season's NBA All-Star Game was no different. The Heat's journey has taken them through the Western Conference Finals, to the Western Conference Finals for the first time in their history,",neither,3,3,,neither,3,3,,A,4,2,,,14_610_504
"The last time the city's most iconic landmark was a great time of the year to enjoy a very spectacular and very important exhibition, with a very high level of quality and excellence. At first sight, it is a remarkable display of the most advanced techniques and techniques,","The last time the Giants played a division rival was the 2011 season. It was the Giants' only appearance of the year against a division opponent, a game in which they blew a 21-7 lead to the New York Jets and were outscored 34-0",neither,4,4,,A,4,3,,A,3,2,,,43_895_740
"The president of the country's oldest Jewish museum is planning an event celebrating its 150th anniversary in 2017.

The New York State Historical Society will host a commemorative event honoring the Jewish people and the Holocaust at the newly refurbished and expanded Holocaust Memorial Museum on Friday.","The president of the country's oldest and most influential Islamic institution has been named as the country's next governor.

Abdulla Hijazi will assume the post next month and be sworn-in on Monday. He will be succeeded by the head imam, Muhammad",neither,5,3,,neither,5,3,,neither,3,5,,,2_635_722
"The chicken is very flavorful. I have to give a big shout out to the chicken, and the sauce is amazing. I made a few changes to the recipe as I added the chicken, and the wine I put into the chicken is to make the sauce that","The chicken was delicious, the sauce was delicious. I was very impressed with this recipe and I will definitely be making it for dinner again when my wife and daughter are home!<|endoftext|>""It is our mission to serve the needs of the people,"" he said.",both,3,3,,both,3,3,,both,3,4,,,11_705_15
"The horse (H) is a favorite of all the scientists. We all know this, but what we don't realize is that the horse has some amazing powers as an animatronic, with the ability to levitate, and to fly at great speeds through","The horse is the master of the home, but the master of the house. – T.E. Lawrence

The best of the best are not the brightest of lights, or the best of the brightest have not been in the best of the best of",A,4,1,,neither,3,1,,A,3,2,,,8_863_253
"The movie ""Star Wars"" has been getting lots of press lately. And it's easy to see why. It's a massive property with billions of dollars worth of merchandising, and an enormous fan base that is passionate about the film franchise.

","The movie's plot, the characters, and the music, have all been created with great skill. The acting is top-notch as usual, and even the voice-acting, which is excellent, has been a revelation.

There is a certain",B,5,4,,neither,3,4,,B,4,5,,,20_280_899
"The year is 1910. In his new job as editor of the New York Daily Mirror, the legendary writer John Steinbeck begins an odyssey that will change his life forever. Written with the same spirit of humor and heart-felt humanity that has brought him fame and fortune throughout","The year is 1910. The young and talented Russian composer, O.P. Dmitritch, has just won the first prize of his lifetime: a lifetime achievement prize for the opera of the Siena opera house, a prize that he has since won twice: in 1909",both,4,3,,B,5,2,,A,5,1,,,35_608_603
"The movie ""The Hobbit: The Desolation of Smaug"" is currently in theaters and we're just about to see it in the press. It's a pretty huge release, but what's really impressive is the way it's managed to be so much fun","The movie is a good one, though it could be argued that it's not the best movie of 2012. There are a few plot holes, a few questionable choices, and one glaring misjudgment by director Alfonso Cuarón. But overall, it",A,4,4,,neither,4,4,,A,4,5,,,19_10_896
"The year is 1910. One of America's most influential men, John D. Rockefeller, has been in office for a mere five years. The American people have become so fed up with government that they have begun to demand a change. The president, however, doesn't seem","The year is 1910. The United States has reached its full capacity of manufacturing goods. This is good news for America. It means more jobs, more money, fewer regulations, more competition. As a new wave of industrial revolution takes place, Americans are eager to invest in new",B,4,4,,B,3,5,,B,4,5,,,33_780_726
"The movie is a good, and it has the makings of being a great film, if it doesn't take you a long time to get to the film's great beauty and stunning performance by the performances by Richard Avedon, The New Yorker, The","The movie ""The Hobbit: The Desolation of Smaug"" is currently in theaters and we're just about to see it in the press. It's a pretty huge release, but what's really impressive is the way it's managed to be so much fun",both,5,4,,both,3,4,,both,2,4,,,19_879_318
"The last time the U.S. military carried out a major operation, it was a triumph of engineering. The AAF A-3, as it was called, was the largest and most expensive piece of defense technology ever designed and fielded.

The A","The last time I was on the West Coast, I was driving down the road, looking for a place to eat and was surprised to find a restaurant called ""Tenderloin"". They were a little bit more upscale. There were also some amazing sandwiches and salads",B,4,5,,B,4,5,,A,5,5,,,42_741_586
"The country's most innovative and best-known luxury home

The finest, finest, most unique design

The most stunning, most elegant design

An extraordinary array of features, from the most elegant interior design, to the most sophisticated interior design
","The country's top court is likely to uphold a law that allows police to stop and search anyone they suspect of being involved in an illegal drug trade.

The ruling will have immediate consequences for the police, but for some time it was likely to remain in",A,3,4,,A,2,4,,A,2,5,,,5_57_844
"Once upon a time, the United States was known as the ""Land of Opportunity."" In the 1950s, the U.S. government began to focus on developing new methods for producing high-quality, low-cost, and environmentally friendly goods. In addition to creating","Once upon a time, the Earth was a very good place. It had the resources, air, and water it needed. But as we have developed into the great cities we are today, the world as it was meant to be is no more. The Earth's oceans",A,5,5,,A,3,4,,A,3,5,,,23_872_845
"The horse was killed in the shooting at a farm in the village of Wauwatosa. The driver was not injured in the shooting. The horse was being ridden by a man at the time of the shooting.

Wauwatosa police said Tuesday","The horse is the best thing that has ever happened to me. I've had my own horse, which I've owned for over a year and a half, since I bought it.

I don't think you can really explain this to someone who hasn",B,4,2,,B,3,2,,B,3,3,,,8_816_614
"The horse-power of a car engine can be as low as 10 horsepower, as high as 30 horsepower. That's a lot of horsepower, and it means you can use more torque and horsepower. That makes cars a lot more fun to drive than a horse","The horse is not an object in itself; the horse is an animal, and an animal, as a whole, does not exist.

--J. B. Sorenson

The animal in question is not a part of itself; it is",neither,3,2,,neither,3,2,,neither,3,5,,,7_352_793
"The city is hoping to have the project completed by the end of next year.

The project is part of a new development called South Shore.

The project, designed to create a mixed-use district, includes two office buildings along the banks of","The city of Toronto's housing market is set for a historic boom in housing development that will change the face of the city.

The city's planning department released a report on Tuesday, which found that housing demand has been driven by the rapid growth of population",neither,4,4,,neither,5,3,,neither,5,3,,,17_832_633
The potato salad is a dish I've been enjoying a lot for several months now. It's also one of the few things where you really can't go wrong. It's one of those recipes that will make you feel like you're eating something from the future,"The potato is the perfect addition to the list of things you should never leave the house without.

The potato can be easily prepared in the following ways: boiled in water, or in a pot of boiling water and then topped with a variety of delicious flavours",A,4,4,,A,4,4,,A,4,2,,,38_90_189
"Once upon a time, there was a time when you could get a good job in the City.

""The good jobs"" were the ones in the ""right"" fields. Those jobs were the ones in the city that paid a good wage and had benefits,","Once upon a time, the world was a peaceful place where the beauty of nature filled you with joy and filled your soul with bliss.

You were a star traveller who lived and breathed adventure. Your life revolved around a wide variety of adventure opportunities that you could",B,4,4,,B,3,4,,B,2,3,,,22_169_791
"The year is 1910. A small town in the heart of an old country. A young, talented, and very intelligent man. He is the only one in the world with his own voice, and a voice of his own. He is the only one with the power to","The year is 1910. In his new job as editor of the New York Daily Mirror, the legendary writer John Steinbeck begins an odyssey that will change his life forever. Written with the same spirit of humor and heart-felt humanity that has brought him fame and fortune throughout",A,2,4,,B,3,5,,B,3,5,,,35_37_348
"The pizza is a perfect way to start your holiday, or any other holiday season, with your favorite pizza. Our pizza is loaded with the flavors of Italian, Italian inspired pizzas. The pizza is topped with a fresh tomato sauce and a generous amount of cheese","The pizza place has had its troubles before, and it will no doubt continue to be the subject of much debate in the years to come.

But this pizza place has one thing that no other restaurant in town has—it has never had a problem with",A,2,4,,neither,2,3,,A,2,4,,,32_214_80
"The book is in a wonderful place on the market. It's in very good condition, the illustrations are great, and a great deal of the text is still readable. This is an extremely rare book, and one that deserves to be cherished.

The",The book The Art of Being a Christian: How a New World Order Will Transform Your Life and Your World is a collection of inspirational writings written by leading world-renowned Christian scholars. The book is filled with fascinating stories of how people have transformed their lives for,A,2,4,,neither,4,4,,A,2,4,,,41_303_762
"The president of the country's oldest scientific museum, the National Air and Space Museum, will honor its former president on Sunday with the first of a pair of new gold-plated and gold-emblazoned gold-trimmed medals, the first ever issued by","The president of the country's largest university, the University of North Florida, called for ""more accountability"" in the administration of student-run student unions following the recent death of an officer.

""The University of North Florida and the leadership of the student unions need to",neither,3,4,,neither,3,5,,neither,3,4,,,1_339_156
"The book was written with the help of an anonymous editor and is based on research conducted for my book, ""Biological Diversity: The Human Dimension."" It is a collection of essays written for and by individuals who have had the honor of serving as part of this","The book is called What Happens In Vegas: The Hidden Truths Behind the Top 50 NFL Teams, and the article is called ""The NFL's Most Valuable Player and the Top 50 NFL Teams That Never Play"" (The Atlantic).

The article",neither,4,4,,neither,4,4,,neither,5,4,,,40_594_236
The book The Art of Being a Christian: How a New World Order Will Transform Your Life and Your World is a collection of inspirational writings written by leading world-renowned Christian scholars. The book is filled with fascinating stories of how people have transformed their lives for,"The book is a collection of over 200 of my most incredible and inspiring experiences! This is a great guide to the amazing people I have met and the amazing things that have happened to me! I have also included some photos, some of my personal stories, my",B,4,4,,B,4,4,,B,4,4,,,41_366_157
"The country's most innovative and best-known luxury home

The finest, finest, most unique design

The most stunning, most elegant design

An extraordinary array of features, from the most elegant interior design, to the most sophisticated interior design
","The country's most affordable, award winning wines.

The highest quality, most varied and most accessible range of wine for the most budget-conscious wine enthusiast. Our wine is carefully selected to meet all of your needs. We offer a wide variety in prices",both,3,4,,both,2,5,,both,2,5,,,5_189_67
"The painting is the second of its kind to grace a Texas college campus.

A student-designed poster that depicts a woman in a dress and a pair of boots walking with a man in a dress and another woman in a dress and another man in a","The painting is a beautiful, complex, and stunningly beautiful work of art, but the real power behind that power lies in the way in which he does it so well. ""The only thing in the world more compelling to me than the beautiful and the brilliant",B,3,3,,B,3,3,,B,3,3,,,26_848_611
