"From files:neg_pickles/sentiment_2_R.p,neg_pickles/sentiment_2_A.p,  neg_pickles/sentiment_2_R,B.p, neg_pickles/sentiment_2_A,B.p",,,,,,,,,,,,,,,,,,,,,,,
A,B,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,North,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,prabha,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,Stephen,,,,,,,,,,
"The chicken is cooked in oil and then roasted in water until tender and crispy.

The sauce is made from a combination of soy sauce, brown sugar and chili flakes.

The dish is served over rice, which can be served cold or hot.","The chicken soup aisle is packed with chicken crap. That fact makes us sick.

But there are some foods, like the canned and frozen garbage that has gone missing or the rotting garbage on the curb that you can eat for lunch. But the problem is",B,4,4,,B,4,4,,B,5,2,,,,,,,,,,,7_476_899
"The lake at the edge of the lake in the center of the map shows how the lake is changing. (Courtesy of the National Park Service)

There isn't much to talk about on Lake Champlain — it's just a lake that sits atop the","The lake, at a depth of about 5,000 feet, is not a very pleasant place to be.

It is a very hot day and the air is very thick.
The air is very bad in the area where I am from.
",B,4,2,,B,4,3,,B,2,1,,,,,,,,,,,30_858_725
"The pizza chain has been hit with a class action lawsuit alleging its pizzas contain ""unsafe"" ingredients.

An online petition calling for a $1.5million class action against Papa John's Pizza Co. was launched in September after customers were reported","The pizza shop's owner said he was surprised to discover there were no signs in the window warning patrons not to eat at the business that has had trouble with the restaurant's owners.

But when the owner went inside, he says he was confronted with customers",A,4,3,,A,4,3,,A,3,4,,,,,,,,,,,2_306_672
"The year is 1910. A few years after the revolution of 1917, Germany is ruled by a new government headed by Wilhelm II of Prussia, who has the support of many German citizens. But there's something that Wilhelm wants most, and that is to destroy Germany, and","The year is 1910.

The first woman to walk on the Moon has fallen ill and is unable to walk or even move. It is feared that she may die of cancer before the first humans reach the Moon.

The United States Congress is asked to authorize an",both,5,2,,both,4,4,,both,3,2,,,,,,,,,,,25_116_98
"The chicken is cooked in oil and then roasted in water until tender and crispy.

The sauce is made from a combination of soy sauce, brown sugar and chili flakes.

The dish is served over rice, which can be served cold or hot.","The chicken nuggets are so good you should order them. I don't eat them, and if the meat and potatoes I eat, I like to use a potato peeler instead of a knife.

The first thing to be sure is that your meat",neither,4,3,,neither,4,3,,neither,5,1,,,,,,,,,,,7_352_793
"The horse is dead. And it's going to die fast. This horse was not a healthy horse to start off the season, but he's still got some tricks left in his repertoire.

The Kentucky Derby is not only the biggest horse race in the","The horse that ran away from the police, and the horse that ran in terror and fear, both are examples of human nature. It is the nature of humanity to act out our emotions in order to please others, even those that we are not in the position",both,3,4,,both,4,3,,neither,1,2,,,,,,,,,,,13_862_596
"The year is 1910. A young black man has just arrived in the US to find a job and a new family, but the racism of an old, white, racist system remains as the black community is still denied a place in the USA, a system which they themselves are","The year is 1910. A few years after the revolution of 1917, Germany is ruled by a new government headed by Wilhelm II of Prussia, who has the support of many German citizens. But there's something that Wilhelm wants most, and that is to destroy Germany, and",A,4,5,,A,3,4,,B,2,3,,,,,,,,,,,25_257_820
"The horse is an animal in which an animal, which is an object, or an act, has, or is capable of being, a part;

the horse is capable of being, and the act of being is, a part of that horse,","The horse that ran away from the police, and the horse that ran in terror and fear, both are examples of human nature. It is the nature of humanity to act out our emotions in order to please others, even those that we are not in the position",B,2,4,,B,2,3,,B,1,2,,,,,,,,,,,13_549_672
"The lake was dry and cold, but the cold was not the least cold I have ever felt in my life. It was like the cold was just too warm… and that's exactly how it feels when there isn't the slightest difference between this temperature and the","The lake, at a depth of about 5,000 feet, is not a very pleasant place to be.

It is a very hot day and the air is very thick.
The air is very bad in the area where I am from.
",neither,3,2,,neither,3,3,,B,2,1,,,,,,,,,,,30_595_637
"The pizza chain has been hit with a class action lawsuit alleging its pizzas contain ""unsafe"" ingredients.

An online petition calling for a $1.5million class action against Papa John's Pizza Co. was launched in September after customers were reported","The pizza delivery service Pizza Hut is looking to expand, according to a report.

Pizzeria Hut is planning to open a new location in the city by the end of the year, the report said.

The company is expected to open the",A,4,5,,A,4,4,,A,3,3,,,,,,,,,,,2_234_553
"The potato, a little bulbous in the middle, is the only vegetable to be cultivated in the United States, although it is the only vegetable that can be eaten as a soup. The soup is made from a potato, which has been dried and boiled.","The potato is one of the world's most popular vegetables, and it turns out that the potatoes you buy at the store are not just genetically identical. They're also genetically modified. That's because when you boil potatoes in water and turn them back into pure potato",neither,4,2,,neither,4,3,,neither,3,2,,,,,,,,,,,42_741_586
"The lake in the southern part of the Arctic Circle, which is a melting sea of permafrost, is melting faster than previously thought, and is becoming more rapidly unstable due to the extreme cold. In the last year alone, more than 30,000 tons","The lake is now closed to boaters, which is the best thing about the whole thing.

The two men who created the world's most toxic and odorous and toxic, a toxic, toxic, odorous, odorous, odorous, od",both,3,1,,both,4,1,,both,3,1,,,,,,,,,,,32_499_677
"The horse race of politics is about to get a lot more interesting.

A new poll released on Wednesday shows a majority of Americans are worried about the future of the Republican Party. A whopping 60 percent of Americans, or 52 percent, say they are concerned","The horse-drawn car has been in use in the U.S. for more than a century. In the 1920s, the first one was made in the U.S. The first was made in the U.S., and the first was in",A,3,1,,A,3,2,,A,3,2,,,,,,,,,,,12_270_461
"The pizza delivery service Pizza Hut is looking to expand, according to a report.

Pizzeria Hut is planning to open a new location in the city by the end of the year, the report said.

The company is expected to open the","The pizza shop's owner said he was surprised to discover there were no signs in the window warning patrons not to eat at the business that has had trouble with the restaurant's owners.

But when the owner went inside, he says he was confronted with customers",B,5,3,,B,4,3,,neither,3,4,,,,,,,,,,,2_473_376
"The country's first human colonised a small-scale sewage dump in a test of a new waste incinerator.

The prototype plant was tested on waste that has been dumped into the city's sewers.

It was built by waste management company","The country of Israel, which is the world's largest exporter, has a long history of support for the anti-Semitic, anti-Arab, and pro-Iranian terrorist groups that are in the Middle East.

Israel is a major supporter of",B,3,5,,B,3,5,,B,3,4,,,,,,,,,,,33_767_645
"The last time I was in the US, I went to the local mall and a guy I was in high school with told me that the best place to go is ""The mall, the only place to go."" He then told me that he was from the mall","The last time I checked, there wasn't a lot of space for me on the left side of these things, but this is the most comfortable and functional I've worn them yet. It's also one of the lightest ones I've worn, but I'm",neither,3,3,,neither,4,4,,neither,2,2,,,,,,,,,,,29_565_402
"The movie's soundtrack, ""Losing Our Religion,"" is out now on Amazon.<|endoftext|>It's been a rough few days for Republican frontrunner Mitt Romney, whose campaign is in turmoil, with a poll showing him trailing the frontrunner for the Republican nominations.

","The movie ""The Wolf of Wall Street"" is based on an actual financial crisis, and it looks like a movie with a very serious message. As a result of the financial crisis, the economy shrank and millions became poor. This made the rich even wealthier",A,1,4,,A,3,4,,A,4,4,,,,,,,,,,,38_287_566
"The year is 1910. In this era, a mysterious and deadly disease has taken over humanity in a matter of months. The epidemic has spread across the globe. And now the plague has reached the shores of New Orleans and threatens humanity's very existence.<|endoftext|>It wasn't always","The year is 1910. The city is a shambles. The city is a wasteland. A city in which the water has turned into the blood of its residents and its sewage has caused the sewage to flood its sewers as if it were a sewer. And yet,",both,5,1,,both,5,1,,both,4,2,,,,,,,,,,,24_14_159
"The year is 1910. The city is a shambles. The city is a wasteland. A city in which the water has turned into the blood of its residents and its sewage has caused the sewage to flood its sewers as if it were a sewer. And yet,","The year is 1910. A new, efficient machine, the machine gun, is to be used in battle. The machine gun, however, is to be used on the left side. The machine gun is to be used on the left as well as the right. The machine",A,1,3,,A,1,4,,A,2,2,,,,,,,,,,,24_835_9
"The painting is on display at the American Museum in Baghdad

The painting, which is in a museum in the Iraqi city of Basra, is on display at the American Museum in Iraq

The painting was painted in the early 1960s

The","The painting is of a woman with an expression on her face which shows her having a sexual encounter while standing. She is holding a knife in one hand, a cigarette in the other, and holding her own head in front of her with her right hand. Her",neither,1,2,,neither,1,3,,neither,2,3,,,,,,,,,,,5_397_466
"The book ""The Myth of the Rational Voter"" is an attempt to refute this claim.

The book begins by noting that the Republican Party has become much bigger than it was 20 years ago because it adopted policies that have led to massive voter suppression efforts in","The book ""The Myth of the Rational Voter"" is an attempt to refute this claim.

The book begins by noting that the Republican Party has become much bigger than it was 20 years ago because it adopted policies that have led to massive voter suppression efforts in",both,5,5,,both,5,5,,both,4,4,,,,,,,,,,,15_664_6
"The president of the country's largest public university said Tuesday that the school is ""totally"" on board with the plan to build two new football stadiums.

In a speech in Chicago, Chicago Mayor Rahm Emanuel said the plan to build two new football stadiums is on","The president of the country's largest hospital group said Monday that the nation's second-worst hospital-in-chief is ""in a state of crisis,"" and that it's ""time to move beyond"" the controversy and focus more on how it's doing business.

",B,4,4,,B,4,5,,B,4,4,,,,,,,,,,,9_837_251
"The year is 1910.

The first woman to walk on the Moon has fallen ill and is unable to walk or even move. It is feared that she may die of cancer before the first humans reach the Moon.

The United States Congress is asked to authorize an","The year is 1910. A small-time drug addict has been in hiding for months. The only way out is through the sewers, to find the source of the sewage he's been dumping into the sewer system that drains into a nearby dump. The sewer system, by",both,2,1,,both,4,1,,both,2,2,,,,,,,,,,,25_734_455
"The chicken soup aisle is packed with chicken crap. That fact makes us sick.

But there are some foods, like the canned and frozen garbage that has gone missing or the rotting garbage on the curb that you can eat for lunch. But the problem is","The chicken nuggets are so good you should order them. I don't eat them, and if the meat and potatoes I eat, I like to use a potato peeler instead of a knife.

The first thing to be sure is that your meat",A,4,3,,A,4,3,,A,1,1,,,,,,,,,,,7_235_309
"Once upon a time, there was a very old lady, and a very old man, and a very young and a very young and a very very very very very very old lady. She'd been the last.

The old woman, the woman who'd had","Once upon a time, when I started playing video games, there weren't much choices to make. You could choose from any of the many options that were available for games like Quake or Call of Duty. In those games, you could choose your character by picking a class",B,1,4,,B,1,5,,neither,1,2,,,,,,,,,,,22_385_166
"The book is not perfect. In part, because the author has no idea who she is.

The book is not perfect. In part, because the author has no idea who she is.

It was a great read. The book is about","The book of the Bible, the Bible is literally a giant fucking mess of bullshit. I've never seen so much garbage. If you are a Christian or a Jew or atheist, you are going to feel like a complete idiot if you are reading this. It",B,2,4,,B,2,4,,both,1,3,,,,,,,,,,,17_521_151
"The painting is from 1782, and was originally done by William Soudre. It depicts a man in a white shirt and cap, who is holding a sword in his right hand and a pistol on his left, with a sword in the left hand.","The painting in question is a painting by Rembrandt, The Second, and it is, at a very basic level, a work of art. The artist has painted a painting with a single brush stroke, with a palette, a brush head. This is",neither,2,3,,neither,2,4,,neither,2,3,,,,,,,,,,,4_688_469
"Once upon a time, there was a time that I was in a car accident (the one I have the most in-game photos of). At the time, I was in a terrible wreck, and my car broke down to the ground. I ended up on cr","Once upon a time, a man named Tom was having a bad time of it and he was feeling the urge to get a vasectomy. He was going to go to the hospital and get the vasectomy. He had a vasectomy when was 19, he was in",both,2,2,,both,2,2,,both,2,3,,,,,,,,,,,21_87_753
"The horse is an animal in which an animal, which is an object, or an act, has, or is capable of being, a part;

the horse is capable of being, and the act of being is, a part of that horse,","The horse is not the first animal to be considered a ""feral"" animal. But the notion that they are somehow ""inhumane"" is so far removed from reality that we're still talking about them in the media today, as the American Humane Association points",B,2,4,,B,2,4,,B,1,5,,,,,,,,,,,13_433_247
"The country's biggest bank is asking a federal judge to throw out a lawsuit that accuses the nation's largest bank of violating the Fair Trade Act by failing to pay employees for overtime and other time worked.

In the second legal blow to Wells Fargo in two","The country's largest public pension plans were among the companies hit by the collapse of a major UBS bank, as well as other financial institutions, which has sent panic through markets.

The collapse of the Swiss private equity firm UBS, which is now",both,4,3,,both,4,3,,B,4,4,,,,,,,,,,,35_37_348
"The last time I went to a restaurant I was a little over the moon. I had the time and a few hours of my life, to be in a place where people can watch live from the front, the front-page, the back of the newspaper,","The last time the Giants played a division rival was the 2011 season. It was the Giants' only appearance of the year against a division opponent, a game in which they blew a 21-7 lead to the New York Jets and were outscored 34-0",B,4,3,,B,3,3,,B,2,3,,,,,,,,,,,28_133_854
"The year is 1910. It is the year of World War I, and the American government is trying to keep the German people from fighting for their country. The American president is the famous Teddy Roosevelt. The American people are being told to take up arms. The young soldiers are","The year is 1910. In a vast, alien wasteland of desert, a vast, alien desert, is the abandoned remains of the infamous derelict oil tanker that sank off the coast of Florida in 1874. The wreck of the wrecked ship was the worst wreck disaster in",B,2,3,,B,2,4,,B,4,3,,,,,,,,,,,26_848_611
"The movie is a good one, though it could be argued that it's not the best movie of 2012. There are a few plot holes, a few questionable choices, and one glaring misjudgment by director Alfonso Cuarón. But overall, it","The movie is really good, but it just has not been released in a lot of places, like the US, UK, etc.

The film is about two men fighting each other. The first is the hero who is a good guy but has a",A,4,4,,A,4,3,,A,4,3,,,,,,,,,,,37_252_113
"The movie ""The Wolf of Wall Street"" was released in 2013. While there is a lot of money at stake, it is also clear that the movie was an investment to make millions. The movie was financed through the sale of ""The Stock Market."" However","The movie will also feature a new storyline, as the series will be rebooted, with a new cast of characters and a new director.

According to EW, the film will take place 20 years prior in the year 2026 when an asteroid slams into",neither,5,5,,neither,4,4,,A,3,3,,,,,,,,,,,36_714_108
"The pizza box is the most awesome invention in the history of humanity.

It's a plastic, paper, disposable, garbage-pile-pile of junk and garbage you can pop into a box and throw away, and it works like magic!","The pizza box is the most awesome invention in the history of humanity.

It's a plastic, paper, disposable, garbage-pile-pile of junk and garbage you can pop into a box and throw away, and it works like magic!",both,3,3,,both,3,3,,neither,2,2,,,,,,,,,,,1_421_399
"The country's largest public pension plans were among the companies hit by the collapse of a major UBS bank, as well as other financial institutions, which has sent panic through markets.

The collapse of the Swiss private equity firm UBS, which is now","The country's largest city has seen an average of 10 calls to its emergency number a day, despite the fact that people in the city are on the streets and unable to reach the hospital.

The call centre is staffed with emergency nurses, but the number",both,3,4,,both,3,4,,both,4,5,,,,,,,,,,,35_608_603
"The road to becoming the next President is a difficult one. You can see the signs of it when you're driving around in the country, or listening to the radio. And yet, the signs aren't necessarily all that great for the candidates. The candidate who","The road to a full-on revolution was paved in the late 1970s with the rise of the anti-globalization movement.

This movement, which was led by a group of young intellectuals, young activists, and a handful of politicians, argued that",A,3,5,,A,4,4,,A,4,5,,,,,,,,,,,18_590_744
"The country's first human colonised a small-scale sewage dump in a test of a new waste incinerator.

The prototype plant was tested on waste that has been dumped into the city's sewers.

It was built by waste management company","The country's new chief minister, A.J. Paik, is a member of a group of prominent conservative politicians who have criticized the Obama administration's efforts to rein in Iran's nuclear program.

Paik told reporters Monday he believes President Obama's",B,3,5,,B,3,5,,B,3,5,,,,,,,,,,,33_731_604
"The country's new chief minister, A.J. Paik, is a member of a group of prominent conservative politicians who have criticized the Obama administration's efforts to rein in Iran's nuclear program.

Paik told reporters Monday he believes President Obama's","The country has a reputation for being one of the most dangerous places in the world, and with good reason. In a study of nearly 1,100 countries, the World Health Organization said that nearly a third of all people who die in the country die from violent",both,5,4,,both,5,5,,B,5,5,,,,,,,,,,,33_780_726
"The potato, a little bulbous in the middle, is the only vegetable to be cultivated in the United States, although it is the only vegetable that can be eaten as a soup. The soup is made from a potato, which has been dried and boiled.","The potato is a plant from the family of the same name that can be used as a condiment and eaten raw. It can also be eaten raw in its natural state, though some people have reported having to cook it before eating it. Its seeds are bitter",neither,4,2,,neither,4,2,,neither,3,2,,,,,,,,,,,42_853_708
"Once upon a time in America, a little girl named Lucy was a pretty girl with a pretty mouth. She was also a pretty little slut. Her cunt was a filthy, piss-stained, dump. She had no dignity, just like the rest of the human race","Once upon a time, when the first generation of computers could only be bought with cash, you needed to go to a store to get your computer or tablet.

But these days you have to go online to buy anything, including music, TV channels, games and",A,5,4,,A,4,5,,A,3,4,,,,,,,,,,,23_187_520
"The city of Toronto has agreed to buy a property from the developer of the old Eaton Centre complex for $3.8 million, the same amount Toronto received in its bid to redevelop a new arena site in Vaughan.

Toronto's bid to purchase the complex","The city of Houston's homeless crisis has been on the rise for years now, but it has gotten so bad that people are starting to get killed while trying to escape the crisis and the law isn't keeping pace.

Last month a woman called 911 after",B,4,3,,B,5,3,,B,5,4,,,,,,,,,,,39_32_63
"The city of Los Angeles will soon start installing a $1,000-a-month solar-powered roof that will allow homeowners to install solar panels on their roofs.

The roof, which is called the ""Solar Roof,"" is the product of a","The city of Toronto's police force is one the most corrupt, incompetent, and incompetent on the entire planet. In fact, according to a report by the Toronto Star, the entire force ""lacks the skills and the resources to stop the next Toronto bomber.""",B,3,2,,B,4,3,,B,4,3,,,,,,,,,,,40_820_867
"The last time I was to this place I was in the mid-80s, and my mother was the first to tell me I was a weirdo. I was a weirdo. I was a weirdo. I was a weirdo. I was a","The last time I was on the West Coast, I was driving down the road, looking for a place to eat and was surprised to find a restaurant called ""Tenderloin"". They were a little bit more upscale. There were also some amazing sandwiches and salads",A,1,4,,A,1,5,,A,1,5,,,,,,,,,,,27_577_284
"The painting is on display at the American Museum in Baghdad

The painting, which is in a museum in the Iraqi city of Basra, is on display at the American Museum in Iraq

The painting was painted in the early 1960s

The","The painting ""The House of the Dead"" by Pablo Picasso depicts a woman in an early-1960s house in Paris, wearing a black dress, a black skirt with a red flower on it, wearing a red dress, a red skirt with a red",neither,1,4,,neither,1,3,,neither,2,2,,,,,,,,,,,5_57_844
"The painting is of a woman with an expression on her face which shows her having a sexual encounter while standing. She is holding a knife in one hand, a cigarette in the other, and holding her own head in front of her with her right hand. Her","The painting ""The House of the Dead"" by Pablo Picasso depicts a woman in an early-1960s house in Paris, wearing a black dress, a black skirt with a red flower on it, wearing a red dress, a red skirt with a red",neither,2,4,,neither,3,3,,neither,3,2,,,,,,,,,,,5_562_728
"The book is a great, and you get the point of it. The point is that people are idiots and they're not very smart.
The government has no power over us or our bodies, no authority over the way we are or how we are supposed","The book of Mormon and the world are two sides of one coin. It is a book written for children and adults that is not meant for them. The Book of Mormon is not intended for adults, nor should its use be.

It should be left",both,4,5,,both,4,5,,A,4,2,,,,,,,,,,,16_423_324
"The president of the country's largest union called for the resignation of his party's leader in a letter sent to the party's national council. ""We have no choice but to support the president's decision,"" the president of the United Food and Commercial Workers (UFCW) wrote","The president of the country's largest university, University of Illinois, President Michael Drake, is facing criticism for a controversial video that he posted to Facebook.

The video, posted Thursday, depicts Drake and a friend, a woman, discussing a ""toxic masculinity culture""",A,4,5,,A,4,4,,B,5,5,,,,,,,,,,,10_744_750
"The potato is one of those delicious foods that is so popular that we often eat it as a snack, and even when the dish is served in its original form at home as a salad, it's still a staple of meals in many cultures.

This","The potato is one of the most widely used foods in the world. It is found in every region of the world but has been in constant decline over the last 150 years.

The World Health Organization, which is the main agency for monitoring the health status",neither,5,4,,neither,4,3,,neither,2,3,,,,,,,,,,,44_114_439
"The book is written by David W. Satter, and is available in paperback and paperback and ebook formats from Amazon and iBooks.

In the aftermath of the Great Recession, most Americans are living beyond their means and the financial system is in shamb","The book is called The New Jim Nabisco, and the rest of the series is the new Jim, in a nutshell, with a ""B"" in bollocks.<|endoftext|>This is a rush transcript. Copy may not be in its final form.
",neither,2,2,,neither,3,2,,neither,2,2,,,,,,,,,,,16_102_389
"The lake is named after a Roman Catholic saint, who is thought to be the head of a gang, the ""gang"" for the ""fags"" of the gang.<|endoftext|>This is a rush transcript. Copy may not be in its final form.
","The lake is home not only to a couple of large ponds and a pond in the center of the lake, and an area that is open to the public, but also to a couple of small ponds as well.

The lake is a popular summer destination",neither,4,3,,neither,3,2,,neither,2,1,,,,,,,,,,,31_277_692
"The city is hoping to have the project completed by the end of next year.

The project is part of a new development called South Shore.

The project, designed to create a mixed-use district, includes two office buildings along the banks of","The city of Los Angeles is taking a big step in the right direction with a new ""L"" logo.

The city of Los Angeles is taking a big step in the right direction with a new ""L"" logo.

The city of Los",neither,2,1,,neither,2,1,,neither,4,2,,,,,,,,,,,41_224_389
"The last time the NHL saw a team that didn't have a goalie on its roster was in the 1980s. But, as the NHL prepares to start a new era of expansion, it's important to look at how the current crop of goalies fared over that","The last time the Giants played a division rival was the 2011 season. It was the Giants' only appearance of the year against a division opponent, a game in which they blew a 21-7 lead to the New York Jets and were outscored 34-0",B,5,4,,B,4,3,,B,4,3,,,,,,,,,,,28_180_786
"The potato is the world's most popular food and a staple in most Western countries. The potato, also called the potato, or the potato in the United States is the largest of the two potatoes, and it has been the staple food of the Native Americans for","The potato plant has a wide range of uses. It is used as a sweetener, in jams, cakes, sauces and even in breads and cakes. Its leaves are a source of vitamin C, a nutrient that is important for healthy bones.

",neither,3,4,,neither,3,3,,neither,2,4,,,,,,,,,,,44_125_4
"The president of the country's largest union called for the resignation of his party's leader in a letter sent to the party's national council. ""We have no choice but to support the president's decision,"" the president of the United Food and Commercial Workers (UFCW) wrote","The president of the country's largest university, University of Illinois, says the president of the country's largest university, University of Illinois, is calling on the school to fire a professor whose book criticized Trump.

""I think that this is a really terrible idea,"" said",B,4,1,,B,4,1,,B,5,3,,,,,,,,,,,10_552_525
"The painting in question is a painting by Rembrandt, The Second, and it is, at a very basic level, a work of art. The artist has painted a painting with a single brush stroke, with a palette, a brush head. This is","The painting is called ""The Last of the Old,"" and it shows a woman who seems to live on earth. Her face is hidden by a veil, her hair is tied back in a ponytail, and her dress seems to be a kind of skirt.",neither,3,5,,neither,4,4,,neither,3,5,,,,,,,,,,,4_869_414
"The country has a reputation for being one of the most dangerous places in the world, and with good reason. In a study of nearly 1,100 countries, the World Health Organization said that nearly a third of all people who die in the country die from violent","The country's first human colonised a small-scale sewage dump in a test of a new waste incinerator.

The prototype plant was tested on waste that has been dumped into the city's sewers.

It was built by waste management company",A,4,3,,A,5,3,,A,5,3,,,,,,,,,,,33_486_3
"The road to recovery was not easy for many.

The world is not yet at a tipping point.

A global financial crisis, a global financial calamity, global collapse, a debt-fuelled housing crisis, a banking collapse and a","The road from the University of Washington to the Capitol is about to get much dirtier.


A new report says Washington's surface air pollution will reach ""unprecedented levels,"" and that the amount of carbon monoxide and particulate matter in Washington air",both,3,4,,both,3,5,,both,2,3,,,,,,,,,,,19_641_842
"The horse is the best.

I'm a horse.

I'm a good, kind horse.

I don't care what you think about this horse,

I know he will always come.

I don't care what","The horse is the most efficient animal on the planet for producing energy. It can run on water without running a mile. It is also the only horse to be capable of running in a field without running out of water or fuel.

Horses are very",neither,2,2,,neither,2,3,,neither,2,1,,,,,,,,,,,14_597_131
"The president of the country's leading university has called for a national ban on ""rape-culture"" in schools and has warned that a lack of education is causing young people to be ""misgender"" and act in ways that are ""unacceptable.""

Dr. George","The president of the country's largest labor union said Monday he has no plans to challenge Hillary Clinton in the November election, saying that the race is too close to call.

""I've decided to run for president because this election is too close to call,"" said AFL",neither,4,5,,neither,4,4,,A,4,3,,,,,,,,,,,9_522_584
"The president of the country's largest labor union said Monday he has no plans to challenge Hillary Clinton in the November election, saying that the race is too close to call.

""I've decided to run for president because this election is too close to call,"" said AFL","The president of the country's largest public university said Tuesday that the school is ""totally"" on board with the plan to build two new football stadiums.

In a speech in Chicago, Chicago Mayor Rahm Emanuel said the plan to build two new football stadiums is on",neither,5,4,,neither,4,4,,neither,3,4,,,,,,,,,,,9_788_389
"The movie ""The Wolf of Wall Street"" is based on an actual financial crisis, and it looks like a movie with a very serious message. As a result of the financial crisis, the economy shrank and millions became poor. This made the rich even wealthier","The movie's production has been cancelled, and no other information has been released.

The news comes from the Hollywood Reporter.

The movie's production had been scheduled to take a month-long hiatus following the death of its director, but that will",both,4,5,,both,4,3,,B,4,5,,,,,,,,,,,38_90_189
"Once upon a time, it took me some effort to figure out how to use my new Raspberry Pi 3 board. In fact, for the first time in ages, I had to ask myself, is there anything I really need to be aware of when I'm doing something","Once upon a time, a man named Tom was having a bad time of it and he was feeling the urge to get a vasectomy. He was going to go to the hospital and get the vasectomy. He had a vasectomy when was 19, he was in",B,4,2,,B,5,2,,B,3,3,,,,,,,,,,,21_2_357
"The last time I was on the West Coast, I was driving down the road, looking for a place to eat and was surprised to find a restaurant called ""Tenderloin"". They were a little bit more upscale. There were also some amazing sandwiches and salads","The last time I was in a car was when I was 15. I was driving from my apartment to my friend's house in San Francisco. We had to take a detour, so we took an hour to get to work, where we met up with two",neither,4,5,,neither,4,4,,neither,5,4,,,,,,,,,,,27_764_630
"The last time the NHL saw a team that didn't have a goalie on its roster was in the 1980s. But, as the NHL prepares to start a new era of expansion, it's important to look at how the current crop of goalies fared over that","The last time I had the chance to go to a show, I was so drunk that I was just sitting on the ground and the lights weren't on. I had a lot of stuff to do and the only light in the venue was a fucking shitty fucking bulb",B,5,3,,B,4,2,,A,2,3,,,,,,,,,,,28_748_807
"The country's third largest oil company will cut about 1.5 billion dollars in cash and investments in emerging markets this year, a sharp reversal of a year ago when the company announced its biggest profit in nine years and a half of the money it spent to fund","The country's largest employer of lawyers is backing a bill that would require the federal government to pay more to help the poorest people in the U.S.

House Republicans introduced their version of the so-called ""Guarantee to Work"" legislation,",neither,3,4,,neither,4,4,,neither,3,3,,,,,,,,,,,34_663_257
"The country's third largest oil company will cut about 1.5 billion dollars in cash and investments in emerging markets this year, a sharp reversal of a year ago when the company announced its biggest profit in nine years and a half of the money it spent to fund","The country's most popular and most influential conservative radio show hosted by Glenn Beck.

Beck is currently at his highest-ever ratings for the show, averaging 9.6 million listeners and counting, according to Nielsen, and he is also at number 1 on",neither,3,4,,neither,4,4,,neither,3,4,,,,,,,,,,,34_479_448
"The pizza shop was closed as police searched the neighborhood for the shooter. The man who opened fire outside the restaurant was described as a black man in mid-thirties. Witnesses and a witness described him wearing a black turtleneck sweater, white pants and","The pizza box, a tiny box that holds a pizza, is a perfect way to prepare a pizza. It is simple to clean, and you can freeze. The frozen pizza box is the perfect place to freeze a chicken or turkey breast.

The other",A,3,3,,A,4,4,,A,3,4,,,,,,,,,,,0_504_265
"The potato is a great, easy and cheap food, even if you're the one who eats it raw. But it is a poor choice of food. You need to cook it first. If it isn't cooked, it's a terrible dish for a family","The potato is one of the most popular vegetables, and is widely considered to be healthier than the green leafy vegetable, broccoli, because both are high in fiber.

But it is also one of the biggest food items consumed.

Researchers from University",A,3,3,,A,3,2,,A,2,2,,,,,,,,,,,43_119_870
"The chicken and waffle cone is a classic. It is the most popular, and most popular in the United States for its fluffy, golden and crunchy, crunchy, crispy, crunchy, crunchy, crispy, crispy and crunchy.

","The chicken and the pig are two of those things that I've been trying to avoid for the past five years.

I have tried to keep them separate from one another. When I went on a date with my best man, we got together to eat",neither,1,2,,neither,2,3,,neither,1,3,,,,,,,,,,,6_237_160
"The last time I was in the U.S. I took the bus.

I was in the middle of the street and all the cars were going the other direction. It wasn't a bad place to be, just not very nice to get in the","The last time I was to this place I was in the mid-80s, and my mother was the first to tell me I was a weirdo. I was a weirdo. I was a weirdo. I was a weirdo. I was a",B,4,1,,B,4,1,,B,2,1,,,,,,,,,,,27_139_253
"The road to the 2016 election

It is a remarkable time in American history. The Republican Party has lost control of the U.S. House of Representatives for the first time since the 1930s and now controls a majority of the American Congress and a majority","The road to the top

When you're a teenager, or even a young adult who's trying to figure out the world and its people, it can feel like you're stuck in some kind of limbo between a life of relative ease and constant, unrel",both,4,3,,both,4,5,,B,5,4,,,,,,,,,,,19_367_872
"The horse is the best thing that has ever happened to me. I've had my own horse, which I've owned for over a year and a half, since I bought it.

I don't think you can really explain this to someone who hasn","The horse is the most efficient animal on the planet for producing energy. It can run on water without running a mile. It is also the only horse to be capable of running in a field without running out of water or fuel.

Horses are very",neither,3,2,,neither,3,3,,neither,3,1,,,,,,,,,,,14_394_427
"The road to the White House is a long one, but it's also a bumpy one, especially for the GOP.

The Republican National Committee on Saturday released its first-in-the-nation survey that found just under half of Republican voters support","The road to the 2017 NBA Draft has been a rocky one for the Denver Nuggets, as they traded their first round pick to the Brooklyn Nets to acquire the No. 1 overall pick.

Now, the Nuggets must make an upgrade at the shooting guard spot",neither,5,4,,neither,5,4,,both,5,5,,,,,,,,,,,20_634_748
